pool_id,type,question,option_a,option_b,option_c,option_d,correct,script,passage,difficulty
R017,reading,"According to the passage, what happens to the brain during sleep?",It stops all activity,It repairs physical injuries,It consolidates memory and regulates emotions,It generates new neural pathways randomly,2,,"Sleep is far more than a period of rest. During sleep, the brain undergoes critical processes that are essential for learning, memory consolidation, and emotional regulation. Research shows that people who consistently sleep fewer than seven hours per night are at significantly higher risk for chronic conditions such as obesity, diabetes, cardiovascular disease, and depression. Despite this, modern society often treats sleep deprivation as a badge of honor, with productivity culture glorifying long working hours at the expense of adequate rest. Sleep scientists advocate for a shift in cultural attitudes, arguing that prioritizing sleep is not a sign of laziness but rather a fundamental investment in one's long-term health, cognitive performance, and overall well-being.",medium
R018,reading,What health risks are associated with sleeping fewer than seven hours?,Vision problems and migraines,"Obesity, diabetes, and cardiovascular disease",Joint pain and muscle weakness,Allergies and immune disorders,1,,"Sleep is far more than a period of rest. During sleep, the brain undergoes critical processes that are essential for learning, memory consolidation, and emotional regulation. Research shows that people who consistently sleep fewer than seven hours per night are at significantly higher risk for chronic conditions such as obesity, diabetes, cardiovascular disease, and depression. Despite this, modern society often treats sleep deprivation as a badge of honor, with productivity culture glorifying long working hours at the expense of adequate rest. Sleep scientists advocate for a shift in cultural attitudes, arguing that prioritizing sleep is not a sign of laziness but rather a fundamental investment in one's long-term health, cognitive performance, and overall well-being.",medium
R019,reading,How does modern society view sleep deprivation according to the author?,As a serious health issue requiring treatment,As something to be avoided at all costs,As a sign of dedication and productivity,As a natural consequence of technology use,2,,"Sleep is far more than a period of rest. During sleep, the brain undergoes critical processes that are essential for learning, memory consolidation, and emotional regulation. Research shows that people who consistently sleep fewer than seven hours per night are at significantly higher risk for chronic conditions such as obesity, diabetes, cardiovascular disease, and depression. Despite this, modern society often treats sleep deprivation as a badge of honor, with productivity culture glorifying long working hours at the expense of adequate rest. Sleep scientists advocate for a shift in cultural attitudes, arguing that prioritizing sleep is not a sign of laziness but rather a fundamental investment in one's long-term health, cognitive performance, and overall well-being.",medium
R020,reading,What does the author mean by 'a fundamental investment' in relation to sleep?,Sleep requires financial resources,Prioritizing sleep has long-term benefits,Sleep is a luxury only some can afford,Good sleep requires expensive equipment,1,,"Sleep is far more than a period of rest. During sleep, the brain undergoes critical processes that are essential for learning, memory consolidation, and emotional regulation. Research shows that people who consistently sleep fewer than seven hours per night are at significantly higher risk for chronic conditions such as obesity, diabetes, cardiovascular disease, and depression. Despite this, modern society often treats sleep deprivation as a badge of honor, with productivity culture glorifying long working hours at the expense of adequate rest. Sleep scientists advocate for a shift in cultural attitudes, arguing that prioritizing sleep is not a sign of laziness but rather a fundamental investment in one's long-term health, cognitive performance, and overall well-being.",medium
R021,reading,What is the primary cause of climate change according to the passage?,Natural volcanic activity,Greenhouse gas emissions from human activity,Changes in Earth's orbit,Ocean temperature fluctuations,1,,"Climate change poses one of the greatest challenges of the 21st century, affecting ecosystems, economies, and human health on a global scale. The primary driver of contemporary climate change is the dramatic increase in greenhouse gas emissions resulting from industrial activity, deforestation, and the burning of fossil fuels. Rising global temperatures are causing glaciers and polar ice caps to melt at unprecedented rates, contributing to sea level rise that threatens coastal communities worldwide. While international agreements such as the Paris Agreement represent significant diplomatic progress, experts argue that current national commitments remain insufficient to limit warming to the 1.5°C target set by climate scientists. Transformative action — including rapid transition to renewable energy, carbon capture technologies, and systemic changes in consumption patterns — is urgently needed.",hard
R022,reading,What consequence of rising temperatures is specifically mentioned?,Increased frequency of earthquakes,Disruption of ocean currents,Melting glaciers causing sea level rise,Widespread droughts across continents,2,,"Climate change poses one of the greatest challenges of the 21st century, affecting ecosystems, economies, and human health on a global scale. The primary driver of contemporary climate change is the dramatic increase in greenhouse gas emissions resulting from industrial activity, deforestation, and the burning of fossil fuels. Rising global temperatures are causing glaciers and polar ice caps to melt at unprecedented rates, contributing to sea level rise that threatens coastal communities worldwide. While international agreements such as the Paris Agreement represent significant diplomatic progress, experts argue that current national commitments remain insufficient to limit warming to the 1.5°C target set by climate scientists. Transformative action — including rapid transition to renewable energy, carbon capture technologies, and systemic changes in consumption patterns — is urgently needed.",hard
R023,reading,What does the author suggest about current national climate commitments?,They exceed what is scientifically necessary,They are exactly on target,They are not sufficient to meet the 1.5°C goal,They have already reduced emissions significantly,2,,"Climate change poses one of the greatest challenges of the 21st century, affecting ecosystems, economies, and human health on a global scale. The primary driver of contemporary climate change is the dramatic increase in greenhouse gas emissions resulting from industrial activity, deforestation, and the burning of fossil fuels. Rising global temperatures are causing glaciers and polar ice caps to melt at unprecedented rates, contributing to sea level rise that threatens coastal communities worldwide. While international agreements such as the Paris Agreement represent significant diplomatic progress, experts argue that current national commitments remain insufficient to limit warming to the 1.5°C target set by climate scientists. Transformative action — including rapid transition to renewable energy, carbon capture technologies, and systemic changes in consumption patterns — is urgently needed.",hard
R024,reading,Which of the following solutions is NOT mentioned in the passage?,Renewable energy transition,Carbon capture technologies,Geoengineering the atmosphere,Changing consumption patterns,2,,"Climate change poses one of the greatest challenges of the 21st century, affecting ecosystems, economies, and human health on a global scale. The primary driver of contemporary climate change is the dramatic increase in greenhouse gas emissions resulting from industrial activity, deforestation, and the burning of fossil fuels. Rising global temperatures are causing glaciers and polar ice caps to melt at unprecedented rates, contributing to sea level rise that threatens coastal communities worldwide. While international agreements such as the Paris Agreement represent significant diplomatic progress, experts argue that current national commitments remain insufficient to limit warming to the 1.5°C target set by climate scientists. Transformative action — including rapid transition to renewable energy, carbon capture technologies, and systemic changes in consumption patterns — is urgently needed.",hard
R025,reading,The word 'transformative' in the passage most closely means:,Gradual and incremental,Fundamental and far-reaching,Temporary and reversible,Politically motivated,1,,"Climate change poses one of the greatest challenges of the 21st century, affecting ecosystems, economies, and human health on a global scale. The primary driver of contemporary climate change is the dramatic increase in greenhouse gas emissions resulting from industrial activity, deforestation, and the burning of fossil fuels. Rising global temperatures are causing glaciers and polar ice caps to melt at unprecedented rates, contributing to sea level rise that threatens coastal communities worldwide. While international agreements such as the Paris Agreement represent significant diplomatic progress, experts argue that current national commitments remain insufficient to limit warming to the 1.5°C target set by climate scientists. Transformative action — including rapid transition to renewable energy, carbon capture technologies, and systemic changes in consumption patterns — is urgently needed.",hard
R026,reading,What is the central challenge discussed in the passage?,Reducing meat consumption worldwide,Feeding a growing population sustainably,Improving food distribution networks,Managing food waste in developed countries,1,,"The global food system faces mounting pressure to feed a projected population of nearly ten billion people by 2050 while simultaneously reducing its environmental footprint. Industrial agriculture, which dominates global food production, relies heavily on chemical fertilizers, pesticides, and large amounts of water — practices that have enabled remarkable productivity gains but have also led to soil degradation, water pollution, and significant greenhouse gas emissions. Alternative approaches such as regenerative agriculture, vertical farming, and precision agriculture — which uses data and technology to optimize resource use — are gaining traction as more sustainable solutions. However, scaling these innovations to meet global food demands requires significant investment, policy support, and changes in consumer behavior.",hard
R027,reading,What is a negative consequence of industrial agriculture mentioned in the passage?,Decreased food productivity,Higher food prices for consumers,Soil degradation and water pollution,Reduced access to technology,2,,"The global food system faces mounting pressure to feed a projected population of nearly ten billion people by 2050 while simultaneously reducing its environmental footprint. Industrial agriculture, which dominates global food production, relies heavily on chemical fertilizers, pesticides, and large amounts of water — practices that have enabled remarkable productivity gains but have also led to soil degradation, water pollution, and significant greenhouse gas emissions. Alternative approaches such as regenerative agriculture, vertical farming, and precision agriculture — which uses data and technology to optimize resource use — are gaining traction as more sustainable solutions. However, scaling these innovations to meet global food demands requires significant investment, policy support, and changes in consumer behavior.",hard
R028,reading,What does 'precision agriculture' refer to according to the passage?,Small-scale organic farming methods,Using data and technology to optimize farming,Traditional farming techniques updated for modern use,Farming in controlled indoor environments,1,,"The global food system faces mounting pressure to feed a projected population of nearly ten billion people by 2050 while simultaneously reducing its environmental footprint. Industrial agriculture, which dominates global food production, relies heavily on chemical fertilizers, pesticides, and large amounts of water — practices that have enabled remarkable productivity gains but have also led to soil degradation, water pollution, and significant greenhouse gas emissions. Alternative approaches such as regenerative agriculture, vertical farming, and precision agriculture — which uses data and technology to optimize resource use — are gaining traction as more sustainable solutions. However, scaling these innovations to meet global food demands requires significant investment, policy support, and changes in consumer behavior.",hard
R029,reading,What does the passage suggest is needed to scale alternative farming methods?,Eliminating industrial agriculture completely,"Investment, policy support, and behavior change",More research into genetic engineering,Reducing the global population target,1,,"The global food system faces mounting pressure to feed a projected population of nearly ten billion people by 2050 while simultaneously reducing its environmental footprint. Industrial agriculture, which dominates global food production, relies heavily on chemical fertilizers, pesticides, and large amounts of water — practices that have enabled remarkable productivity gains but have also led to soil degradation, water pollution, and significant greenhouse gas emissions. Alternative approaches such as regenerative agriculture, vertical farming, and precision agriculture — which uses data and technology to optimize resource use — are gaining traction as more sustainable solutions. However, scaling these innovations to meet global food demands requires significant investment, policy support, and changes in consumer behavior.",hard
R030,reading,The word 'footprint' in the first sentence most likely refers to:,Physical land area used for farming,Environmental impact of food production,Economic cost of the food system,Number of workers in agriculture,1,,"The global food system faces mounting pressure to feed a projected population of nearly ten billion people by 2050 while simultaneously reducing its environmental footprint. Industrial agriculture, which dominates global food production, relies heavily on chemical fertilizers, pesticides, and large amounts of water — practices that have enabled remarkable productivity gains but have also led to soil degradation, water pollution, and significant greenhouse gas emissions. Alternative approaches such as regenerative agriculture, vertical farming, and precision agriculture — which uses data and technology to optimize resource use — are gaining traction as more sustainable solutions. However, scaling these innovations to meet global food demands requires significant investment, policy support, and changes in consumer behavior.",hard
R031,reading,Who introduced the concept of a growth mindset?,Albert Bandura,Carol Dweck,Daniel Kahneman,Martin Seligman,1,,"The concept of a 'growth mindset,' introduced by psychologist Carol Dweck, has revolutionized how educators and organizations think about learning and potential. Individuals with a growth mindset believe that their abilities and intelligence can be developed through dedication, hard work, and learning from failure. In contrast, those with a 'fixed mindset' view their talents as static, innate qualities that cannot be changed. Research across schools and corporations consistently shows that people with a growth mindset achieve more, embrace challenges, persist in the face of setbacks, and respond more positively to feedback. Organizations that cultivate a growth mindset culture tend to see greater innovation and resilience, as employees feel safe to experiment, make mistakes, and continuously improve.",easy
R032,reading,How do people with a growth mindset view failure?,As a sign of low intelligence,As something to avoid completely,As an opportunity to learn,As the result of bad luck,2,,"The concept of a 'growth mindset,' introduced by psychologist Carol Dweck, has revolutionized how educators and organizations think about learning and potential. Individuals with a growth mindset believe that their abilities and intelligence can be developed through dedication, hard work, and learning from failure. In contrast, those with a 'fixed mindset' view their talents as static, innate qualities that cannot be changed. Research across schools and corporations consistently shows that people with a growth mindset achieve more, embrace challenges, persist in the face of setbacks, and respond more positively to feedback. Organizations that cultivate a growth mindset culture tend to see greater innovation and resilience, as employees feel safe to experiment, make mistakes, and continuously improve.",easy
R033,reading,What is the key difference between a growth and fixed mindset?,Their attitude toward money,Whether they believe abilities can be developed,Their preference for group or individual work,Their level of academic qualification,1,,"The concept of a 'growth mindset,' introduced by psychologist Carol Dweck, has revolutionized how educators and organizations think about learning and potential. Individuals with a growth mindset believe that their abilities and intelligence can be developed through dedication, hard work, and learning from failure. In contrast, those with a 'fixed mindset' view their talents as static, innate qualities that cannot be changed. Research across schools and corporations consistently shows that people with a growth mindset achieve more, embrace challenges, persist in the face of setbacks, and respond more positively to feedback. Organizations that cultivate a growth mindset culture tend to see greater innovation and resilience, as employees feel safe to experiment, make mistakes, and continuously improve.",easy
R034,reading,What organizational benefit is linked to a growth mindset culture?,Reduced operating costs,Stricter performance standards,Greater innovation and resilience,Higher employee salaries,2,,"The concept of a 'growth mindset,' introduced by psychologist Carol Dweck, has revolutionized how educators and organizations think about learning and potential. Individuals with a growth mindset believe that their abilities and intelligence can be developed through dedication, hard work, and learning from failure. In contrast, those with a 'fixed mindset' view their talents as static, innate qualities that cannot be changed. Research across schools and corporations consistently shows that people with a growth mindset achieve more, embrace challenges, persist in the face of setbacks, and respond more positively to feedback. Organizations that cultivate a growth mindset culture tend to see greater innovation and resilience, as employees feel safe to experiment, make mistakes, and continuously improve.",easy
R035,reading,The word 'innate' in the passage most nearly means:,Acquired through experience,Inborn and natural,Developed through effort,Shaped by the environment,1,,"The concept of a 'growth mindset,' introduced by psychologist Carol Dweck, has revolutionized how educators and organizations think about learning and potential. Individuals with a growth mindset believe that their abilities and intelligence can be developed through dedication, hard work, and learning from failure. In contrast, those with a 'fixed mindset' view their talents as static, innate qualities that cannot be changed. Research across schools and corporations consistently shows that people with a growth mindset achieve more, embrace challenges, persist in the face of setbacks, and respond more positively to feedback. Organizations that cultivate a growth mindset culture tend to see greater innovation and resilience, as employees feel safe to experiment, make mistakes, and continuously improve.",easy
R036,reading,What is the main idea of this passage?,How digital technology is replacing city workers,The benefits and concerns of smart city development,Why Singapore is the most advanced city in the world,How data analytics improves public health,1,,"Smart cities are urban areas that integrate digital technology and data-driven infrastructure to improve the efficiency of city services and enhance the quality of life for residents. From intelligent traffic management systems that reduce congestion in real time to sensor-equipped waste bins that only request collection when full, smart city technologies are reshaping how urban spaces function. Singapore, Barcelona, and Copenhagen are frequently cited as leading examples, having deployed extensive networks of sensors, cameras, and analytics platforms across their urban landscapes. However, critics raise serious concerns about data privacy and surveillance, arguing that the vast amounts of personal data collected by smart city systems could be misused by governments or corporations. Striking the right balance between technological efficiency and civil liberties remains one of the central challenges of smart city development.",easy
R037,reading,Which example of smart city technology is mentioned?,Self-driving public buses,Sensor-equipped waste bins,Automated construction systems,Cashless payment on all transport,1,,"Smart cities are urban areas that integrate digital technology and data-driven infrastructure to improve the efficiency of city services and enhance the quality of life for residents. From intelligent traffic management systems that reduce congestion in real time to sensor-equipped waste bins that only request collection when full, smart city technologies are reshaping how urban spaces function. Singapore, Barcelona, and Copenhagen are frequently cited as leading examples, having deployed extensive networks of sensors, cameras, and analytics platforms across their urban landscapes. However, critics raise serious concerns about data privacy and surveillance, arguing that the vast amounts of personal data collected by smart city systems could be misused by governments or corporations. Striking the right balance between technological efficiency and civil liberties remains one of the central challenges of smart city development.",easy
R038,reading,Which cities are NOT mentioned as smart city examples?,Singapore,Tokyo,Barcelona,Copenhagen,1,,"Smart cities are urban areas that integrate digital technology and data-driven infrastructure to improve the efficiency of city services and enhance the quality of life for residents. From intelligent traffic management systems that reduce congestion in real time to sensor-equipped waste bins that only request collection when full, smart city technologies are reshaping how urban spaces function. Singapore, Barcelona, and Copenhagen are frequently cited as leading examples, having deployed extensive networks of sensors, cameras, and analytics platforms across their urban landscapes. However, critics raise serious concerns about data privacy and surveillance, arguing that the vast amounts of personal data collected by smart city systems could be misused by governments or corporations. Striking the right balance between technological efficiency and civil liberties remains one of the central challenges of smart city development.",easy
R039,reading,What is the main criticism of smart cities?,They are too expensive to maintain,They create too much electronic waste,They raise serious data privacy concerns,They increase inequality between neighborhoods,2,,"Smart cities are urban areas that integrate digital technology and data-driven infrastructure to improve the efficiency of city services and enhance the quality of life for residents. From intelligent traffic management systems that reduce congestion in real time to sensor-equipped waste bins that only request collection when full, smart city technologies are reshaping how urban spaces function. Singapore, Barcelona, and Copenhagen are frequently cited as leading examples, having deployed extensive networks of sensors, cameras, and analytics platforms across their urban landscapes. However, critics raise serious concerns about data privacy and surveillance, arguing that the vast amounts of personal data collected by smart city systems could be misused by governments or corporations. Striking the right balance between technological efficiency and civil liberties remains one of the central challenges of smart city development.",easy
R040,reading,What does the passage identify as a central challenge for smart cities?,Funding the necessary infrastructure,Balancing technology with civil liberties,Reducing carbon emissions from digital systems,Training city workers to use new technology,1,,"Smart cities are urban areas that integrate digital technology and data-driven infrastructure to improve the efficiency of city services and enhance the quality of life for residents. From intelligent traffic management systems that reduce congestion in real time to sensor-equipped waste bins that only request collection when full, smart city technologies are reshaping how urban spaces function. Singapore, Barcelona, and Copenhagen are frequently cited as leading examples, having deployed extensive networks of sensors, cameras, and analytics platforms across their urban landscapes. However, critics raise serious concerns about data privacy and surveillance, arguing that the vast amounts of personal data collected by smart city systems could be misused by governments or corporations. Striking the right balance between technological efficiency and civil liberties remains one of the central challenges of smart city development.",easy
R041,reading,What was the Silk Road primarily?,A single long road made of silk,A network of ancient trade routes,A river route connecting China and Rome,A series of diplomatic agreements between empires,1,,"The Silk Road was not a single road, but rather an ancient network of trade routes that connected China to the Mediterranean world, stretching over 6,000 kilometers. From roughly the 2nd century BC to the 15th century AD, merchants, diplomats, pilgrims, and scholars traveled these routes, exchanging not only silk, spices, and precious metals, but also ideas, religions, and cultural practices. Buddhism spread from India to China along these routes, while Islam traveled westward to Central Asia. Papermaking and gunpowder — Chinese inventions — eventually reached Europe via the Silk Road, profoundly influencing the course of Western history. The route declined with the rise of maritime trade in the 15th and 16th centuries, when sea routes offered cheaper and faster alternatives for long-distance commerce.",medium
R042,reading,What was exchanged along the Silk Road besides goods?,Military weapons and soldiers,Slaves and livestock,"Ideas, religions, and cultural practices",Maps and geographic knowledge,2,,"The Silk Road was not a single road, but rather an ancient network of trade routes that connected China to the Mediterranean world, stretching over 6,000 kilometers. From roughly the 2nd century BC to the 15th century AD, merchants, diplomats, pilgrims, and scholars traveled these routes, exchanging not only silk, spices, and precious metals, but also ideas, religions, and cultural practices. Buddhism spread from India to China along these routes, while Islam traveled westward to Central Asia. Papermaking and gunpowder — Chinese inventions — eventually reached Europe via the Silk Road, profoundly influencing the course of Western history. The route declined with the rise of maritime trade in the 15th and 16th centuries, when sea routes offered cheaper and faster alternatives for long-distance commerce.",medium
R043,reading,Which religion spread from India to China via the Silk Road?,Christianity,Hinduism,Islam,Buddhism,3,,"The Silk Road was not a single road, but rather an ancient network of trade routes that connected China to the Mediterranean world, stretching over 6,000 kilometers. From roughly the 2nd century BC to the 15th century AD, merchants, diplomats, pilgrims, and scholars traveled these routes, exchanging not only silk, spices, and precious metals, but also ideas, religions, and cultural practices. Buddhism spread from India to China along these routes, while Islam traveled westward to Central Asia. Papermaking and gunpowder — Chinese inventions — eventually reached Europe via the Silk Road, profoundly influencing the course of Western history. The route declined with the rise of maritime trade in the 15th and 16th centuries, when sea routes offered cheaper and faster alternatives for long-distance commerce.",medium
R044,reading,What caused the decline of the Silk Road?,Political conflicts along the routes,The rise of cheaper maritime trade routes,The collapse of the Chinese empire,Natural disasters destroying key passages,1,,"The Silk Road was not a single road, but rather an ancient network of trade routes that connected China to the Mediterranean world, stretching over 6,000 kilometers. From roughly the 2nd century BC to the 15th century AD, merchants, diplomats, pilgrims, and scholars traveled these routes, exchanging not only silk, spices, and precious metals, but also ideas, religions, and cultural practices. Buddhism spread from India to China along these routes, while Islam traveled westward to Central Asia. Papermaking and gunpowder — Chinese inventions — eventually reached Europe via the Silk Road, profoundly influencing the course of Western history. The route declined with the rise of maritime trade in the 15th and 16th centuries, when sea routes offered cheaper and faster alternatives for long-distance commerce.",medium
R045,reading,Which of the following Chinese inventions reached Europe through the Silk Road?,Printing press and compass,Gunpowder and papermaking,Silk weaving and ceramics,Astronomy and medicine,1,,"The Silk Road was not a single road, but rather an ancient network of trade routes that connected China to the Mediterranean world, stretching over 6,000 kilometers. From roughly the 2nd century BC to the 15th century AD, merchants, diplomats, pilgrims, and scholars traveled these routes, exchanging not only silk, spices, and precious metals, but also ideas, religions, and cultural practices. Buddhism spread from India to China along these routes, while Islam traveled westward to Central Asia. Papermaking and gunpowder — Chinese inventions — eventually reached Europe via the Silk Road, profoundly influencing the course of Western history. The route declined with the rise of maritime trade in the 15th and 16th centuries, when sea routes offered cheaper and faster alternatives for long-distance commerce.",medium
R046,reading,What is the main topic of the passage?,Ocean pollution caused by oil spills,The crisis of plastic pollution in oceans,How marine animals adapt to pollution,Recycling technology for plastic waste,1,,"Plastic pollution has become one of the most visible and persistent environmental crises of our time. Each year, approximately eight million metric tons of plastic waste enters the world's oceans, where it breaks down into microscopic fragments known as microplastics. These particles are ingested by marine organisms — from tiny zooplankton to large whales — and have been found in fish intended for human consumption, raising concerns about human health. A 2022 study detected microplastics in human blood for the first time, suggesting that plastic contamination has permeated the human body. While international efforts to reduce single-use plastics are growing, experts warn that without systemic changes in how plastic is produced, used, and managed, the volume of ocean plastic could triple by 2040.",medium
R047,reading,Approximately how much plastic enters the ocean each year?,2 million metric tons,5 million metric tons,8 million metric tons,15 million metric tons,2,,"Plastic pollution has become one of the most visible and persistent environmental crises of our time. Each year, approximately eight million metric tons of plastic waste enters the world's oceans, where it breaks down into microscopic fragments known as microplastics. These particles are ingested by marine organisms — from tiny zooplankton to large whales — and have been found in fish intended for human consumption, raising concerns about human health. A 2022 study detected microplastics in human blood for the first time, suggesting that plastic contamination has permeated the human body. While international efforts to reduce single-use plastics are growing, experts warn that without systemic changes in how plastic is produced, used, and managed, the volume of ocean plastic could triple by 2040.",medium
R048,reading,What are microplastics?,A type of biodegradable plastic,Tiny fragments resulting from plastic breakdown,Small plastic particles used in manufacturing,A chemical compound found in seawater,1,,"Plastic pollution has become one of the most visible and persistent environmental crises of our time. Each year, approximately eight million metric tons of plastic waste enters the world's oceans, where it breaks down into microscopic fragments known as microplastics. These particles are ingested by marine organisms — from tiny zooplankton to large whales — and have been found in fish intended for human consumption, raising concerns about human health. A 2022 study detected microplastics in human blood for the first time, suggesting that plastic contamination has permeated the human body. While international efforts to reduce single-use plastics are growing, experts warn that without systemic changes in how plastic is produced, used, and managed, the volume of ocean plastic could triple by 2040.",medium
R049,reading,What alarming discovery was made in a 2022 study?,Microplastics were found in Antarctica's ice,Whales were dying from plastic ingestion at record rates,Microplastics were detected in human blood,Ocean plastic levels had doubled since 2015,2,,"Plastic pollution has become one of the most visible and persistent environmental crises of our time. Each year, approximately eight million metric tons of plastic waste enters the world's oceans, where it breaks down into microscopic fragments known as microplastics. These particles are ingested by marine organisms — from tiny zooplankton to large whales — and have been found in fish intended for human consumption, raising concerns about human health. A 2022 study detected microplastics in human blood for the first time, suggesting that plastic contamination has permeated the human body. While international efforts to reduce single-use plastics are growing, experts warn that without systemic changes in how plastic is produced, used, and managed, the volume of ocean plastic could triple by 2040.",medium
R050,reading,What does the passage predict about ocean plastic by 2040?,It will be largely removed through new technology,It could triple without systemic change,It will stabilize due to international bans,It will shift to deeper ocean floors,1,,"Plastic pollution has become one of the most visible and persistent environmental crises of our time. Each year, approximately eight million metric tons of plastic waste enters the world's oceans, where it breaks down into microscopic fragments known as microplastics. These particles are ingested by marine organisms — from tiny zooplankton to large whales — and have been found in fish intended for human consumption, raising concerns about human health. A 2022 study detected microplastics in human blood for the first time, suggesting that plastic contamination has permeated the human body. While international efforts to reduce single-use plastics are growing, experts warn that without systemic changes in how plastic is produced, used, and managed, the volume of ocean plastic could triple by 2040.",medium
R051,reading,What is the main focus of this passage?,How technology creates new jobs,The benefits and drawbacks of the gig economy,Why companies prefer freelance workers,How governments regulate digital platforms,1,,"The gig economy — characterized by short-term contracts and freelance work rather than permanent employment — has grown dramatically over the past decade, driven by digital platforms such as Uber, Airbnb, Fiverr, and Upwork. Proponents argue that gig work offers unparalleled flexibility, enabling workers to choose their hours, clients, and projects. For companies, it reduces overhead costs and provides scalable access to talent. However, critics highlight a darker side: gig workers typically lack job security, health insurance, paid leave, and retirement benefits that traditional employment provides. Studies show that income volatility is a persistent source of stress for many gig workers. The rapid expansion of the gig economy has forced governments worldwide to reconsider labor laws and worker protection frameworks that were designed for a very different era of employment.",hard
R052,reading,Which of the following is listed as a gig economy platform?,LinkedIn,Fiverr,Zoom,Slack,1,,"The gig economy — characterized by short-term contracts and freelance work rather than permanent employment — has grown dramatically over the past decade, driven by digital platforms such as Uber, Airbnb, Fiverr, and Upwork. Proponents argue that gig work offers unparalleled flexibility, enabling workers to choose their hours, clients, and projects. For companies, it reduces overhead costs and provides scalable access to talent. However, critics highlight a darker side: gig workers typically lack job security, health insurance, paid leave, and retirement benefits that traditional employment provides. Studies show that income volatility is a persistent source of stress for many gig workers. The rapid expansion of the gig economy has forced governments worldwide to reconsider labor laws and worker protection frameworks that were designed for a very different era of employment.",hard
R053,reading,What benefit does the gig economy offer to workers according to its supporters?,Job security and stable income,Access to health insurance,Flexibility to choose hours and projects,Guaranteed retirement benefits,2,,"The gig economy — characterized by short-term contracts and freelance work rather than permanent employment — has grown dramatically over the past decade, driven by digital platforms such as Uber, Airbnb, Fiverr, and Upwork. Proponents argue that gig work offers unparalleled flexibility, enabling workers to choose their hours, clients, and projects. For companies, it reduces overhead costs and provides scalable access to talent. However, critics highlight a darker side: gig workers typically lack job security, health insurance, paid leave, and retirement benefits that traditional employment provides. Studies show that income volatility is a persistent source of stress for many gig workers. The rapid expansion of the gig economy has forced governments worldwide to reconsider labor laws and worker protection frameworks that were designed for a very different era of employment.",hard
R054,reading,What is identified as a persistent problem for gig workers?,Lack of access to digital tools,Too many working hours per week,Income volatility causing stress,Difficulty communicating with clients,2,,"The gig economy — characterized by short-term contracts and freelance work rather than permanent employment — has grown dramatically over the past decade, driven by digital platforms such as Uber, Airbnb, Fiverr, and Upwork. Proponents argue that gig work offers unparalleled flexibility, enabling workers to choose their hours, clients, and projects. For companies, it reduces overhead costs and provides scalable access to talent. However, critics highlight a darker side: gig workers typically lack job security, health insurance, paid leave, and retirement benefits that traditional employment provides. Studies show that income volatility is a persistent source of stress for many gig workers. The rapid expansion of the gig economy has forced governments worldwide to reconsider labor laws and worker protection frameworks that were designed for a very different era of employment.",hard
R055,reading,Why have governments had to reconsider labor laws?,Because gig workers earn more than traditional employees,Because existing laws were not designed for the gig economy model,Because gig platforms have broken existing regulations,Because freelance work is now banned in some countries,1,,"The gig economy — characterized by short-term contracts and freelance work rather than permanent employment — has grown dramatically over the past decade, driven by digital platforms such as Uber, Airbnb, Fiverr, and Upwork. Proponents argue that gig work offers unparalleled flexibility, enabling workers to choose their hours, clients, and projects. For companies, it reduces overhead costs and provides scalable access to talent. However, critics highlight a darker side: gig workers typically lack job security, health insurance, paid leave, and retirement benefits that traditional employment provides. Studies show that income volatility is a persistent source of stress for many gig workers. The rapid expansion of the gig economy has forced governments worldwide to reconsider labor laws and worker protection frameworks that were designed for a very different era of employment.",hard
R056,reading,What is the passage mainly about?,The history of space exploration since the 1960s,The capabilities and early achievements of JWST,How infrared technology works in space,The search for extraterrestrial life,1,,"The James Webb Space Telescope (JWST), launched in December 2021, represents the most powerful space observatory ever built and marks a new era in humanity's exploration of the cosmos. Operating approximately 1.5 million kilometers from Earth at a point called L2, the telescope uses infrared technology to observe objects that are too old, distant, or faint to be detected by its predecessor, the Hubble Space Telescope. In its first year of operation, JWST captured images of galaxies that formed just 300 million years after the Big Bang — providing unprecedented glimpses into the early universe. The telescope is also examining the atmospheres of exoplanets for chemical signatures that might indicate the presence of water or other conditions favorable to life. Scientists hope that JWST will fundamentally transform our understanding of planetary formation, stellar evolution, and the origins of the universe.",hard
R057,reading,Where does the JWST operate?,In low Earth orbit like Hubble,On the Moon's surface,Approximately 1.5 million km from Earth at L2,In orbit around Mars,2,,"The James Webb Space Telescope (JWST), launched in December 2021, represents the most powerful space observatory ever built and marks a new era in humanity's exploration of the cosmos. Operating approximately 1.5 million kilometers from Earth at a point called L2, the telescope uses infrared technology to observe objects that are too old, distant, or faint to be detected by its predecessor, the Hubble Space Telescope. In its first year of operation, JWST captured images of galaxies that formed just 300 million years after the Big Bang — providing unprecedented glimpses into the early universe. The telescope is also examining the atmospheres of exoplanets for chemical signatures that might indicate the presence of water or other conditions favorable to life. Scientists hope that JWST will fundamentally transform our understanding of planetary formation, stellar evolution, and the origins of the universe.",hard
